cap-texture,spore-pattern,stem-flexibility,ring-thickness,cap-shape,cap-surface:%3F,cap-color,gill-attachment,stalk-shape,veil-type,veil-color,ring-number,population,habitat,class
b'f',b'o',b'f',b'b',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'l',b'a',b'b',b'a',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'e',b'f',b'g',b'b',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'm',b'i',b'a',b'c',b'x',b'f',b'e',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'h',b'j',b'h',b'a',b'f',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'a',b'm',b'i',b'c',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'm',b'f',b'i',b'a',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'l',b'c',b'j',b'c',b'f',b's',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'm',b'm',b'g',b'c',b'f',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'k',b'g',b'b',b'c',b'f',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'd',b'e',b'c',b'c',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'h',b'b',b'i',b'b',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'a',b'c',b'i',b'c',b'f',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'a',b'e',b'e',b'b',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'm',b'b',b'j',b'b',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'f',b'j',b'f',b'c',b'f',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'i',b'g',b'h',b'b',b'f',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'l',b'h',b'g',b'c',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'n',b'n',b'g',b'a',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'h',b'i',b'e',b'a',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'k',b'n',b'd',b'a',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'l',b'b',b'c',b'b',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'a',b'h',b'h',b'c',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'l',b'e',b'f',b'a',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'd',b'k',b'e',b'a',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'q',b'c',b'e',b'c',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'b',b'k',b'f',b'b',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'd',b'e',b'f',b'b',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'a',b'g',b'a',b'b',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'e',b'e',b'b',b'b',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'j',b'b',b'h',b'b',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'p',b'h',b'a',b'c',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'a',b'h',b'j',b'c',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'd',b'h',b'b',b'a',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'm',b'f',b'd',b'a',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'q',b'j',b'f',b'a',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'd',b'd',b'i',b'c',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'd',b'e',b'j',b'b',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'c',b'n',b'i',b'c',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'h',b'h',b'f',b'b',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'd',b'n',b'd',b'b',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'e',b'a',b'b',b'b',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'b',b'g',b'e',b'a',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'j',b'o',b'j',b'c',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'p',b'd',b'c',b'b',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'p'
b'k',b'd',b'a',b'c',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'f',b'c',b'g',b'b',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'i',b'e',b'f',b'a',b'x',b'y',b'g',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'n',b'l',b'b',b'a',b'f',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'b',b'l',b'a',b'b',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'i',b'o',b'i',b'c',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'r',b'o',b'i',b'c',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'r',b'o',b'i',b'a',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'o',b'e',b'e',b'a',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'q',b'i',b'h',b'b',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'f',b'b',b'h',b'c',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'p',b'm',b'h',b'c',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'e',b'l',b'a',b'a',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'q',b'f',b'g',b'b',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'i',b'g',b'h',b'c',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'p',b'e',b'e',b'b',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'q',b'j',b'h',b'a',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'd',b'j',b'i',b'a',b'f',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'r',b'h',b'c',b'c',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'k',b'm',b'g',b'a',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'd',b'j',b'g',b'a',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'r',b'h',b'd',b'c',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'd',b'k',b'i',b'b',b'x',b'y',b'n',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'c',b'l',b'a',b'a',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'n',b'b',b'i',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'n',b'b',b'j',b'c',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'l',b'k',b'd',b'c',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'c',b'j',b'b',b'b',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'l',b'n',b'i',b'c',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'n',b'e',b'j',b'b',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'h',b'j',b'c',b'a',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'b',b'b',b'd',b'c',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'd',b'j',b'e',b'a',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'm',b'c',b'h',b'b',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'p',b'f',b'i',b'a',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'k',b'f',b'd',b'c',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'q',b'd',b'b',b'a',b'f',b'f',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b's',b'a',b'h',b'a',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'p'
b'e',b'g',b'd',b'c',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'g',b'e',b'c',b'c',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'i',b'f',b'f',b'c',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'g',b'l',b'd',b'c',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'b',b'b',b'a',b'a',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'o',b'k',b'h',b'a',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'o',b'c',b'f',b'a',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'p',b'b',b'e',b'a',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'f',b'm',b'g',b'b',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b's',b'c',b'c',b'a',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'm',b'o',b'c',b'c',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'q',b'j',b'h',b'b',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'p',b'g',b'j',b'c',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'o',b'h',b'f',b'c',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'b',b'm',b'j',b'a',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'm',b'h',b'i',b'b',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'k',b'j',b'g',b'c',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'b',b'l',b'c',b'a',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'h',b'l',b'c',b'b',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'k',b'l',b'f',b'c',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'i',b'a',b'b',b'b',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'f',b'n',b'a',b'a',b'f',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'p',b'o',b'g',b'c',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'm',b'k',b'e',b'c',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'f',b'h',b'g',b'b',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'c',b'e',b'f',b'a',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'h',b'c',b'i',b'c',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'e',b'f',b'j',b'c',b'x',b's',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'e',b'g',b'g',b'b',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'f',b'c',b'd',b'c',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'f',b'a',b'f',b'a',b'f',b's',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'b',b'f',b'b',b'c',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'k',b'n',b'f',b'c',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'k',b'k',b'h',b'a',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'k',b'g',b'c',b'c',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'o',b'o',b'c',b'b',b'f',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'r',b'e',b'd',b'b',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'r',b'g',b'd',b'b',b'f',b'f',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'q',b'm',b'i',b'c',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'c',b'b',b'c',b'a',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'l',b'k',b'f',b'c',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'g',b'e'
b'c',b'n',b'b',b'a',b'f',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'p'
b'l',b'n',b'j',b'a',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'd',b'f',b'a',b'c',b'f',b'f',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'q',b'n',b'i',b'a',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'r',b'k',b'd',b'c',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'n',b'f',b'c',b'c',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'g',b'j',b'c',b'b',b'f',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'n',b'f',b'b',b'c',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'i',b'h',b'i',b'a',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'e',b'f',b'g',b'a',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'p'
b'q',b'e',b'b',b'c',b'f',b'f',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'r',b'c',b'c',b'c',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'j',b'a',b'f',b'a',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'q',b'b',b'c',b'a',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'k',b'a',b'j',b'b',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'p',b'g',b'f',b'b',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'p',b'j',b'a',b'a',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'd',b'k',b'f',b'b',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'p',b'f',b'e',b'b',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'c',b'b',b'c',b'b',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'g',b'n',b'h',b'a',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'c',b'n',b'j',b'b',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'j',b'd',b'b',b'b',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'e',b'e',b'b',b'a',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'l',b'f',b'd',b'b',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'y',b'g',b'e'
b'k',b'm',b'i',b'c',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'i',b'o',b'b',b'c',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'o',b'k',b'i',b'b',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'm',b'o',b'e',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'c',b'f',b'h',b'c',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'o',b'j',b'j',b'c',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'q',b'i',b'a',b'c',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'q',b'g',b'i',b'b',b'f',b's',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'p',b'i',b'd',b'a',b'f',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b's',b'g',b'd',b'c',b'x',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'r',b'j',b'i',b'b',b'x',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'e'
b'd',b'h',b'f',b'b',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'a',b'n',b'i',b'a',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'r',b'n',b'g',b'b',b'f',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'p'
b'f',b'd',b'c',b'a',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b's',b'g',b'i',b'b',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'r',b'i',b'd',b'a',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'g',b'l',b'a',b'c',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'i',b'm',b'a',b'c',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'e',b'f',b'b',b'a',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'b',b'k',b'g',b'b',b'f',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'i',b'd',b'g',b'c',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'p',b'f',b'i',b'b',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b's',b'f',b'b',b'c',b'f',b'f',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'b',b'a',b'i',b'a',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b's',b'i',b'c',b'b',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'r',b'a',b'g',b'a',b'x',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'j',b'a',b'c',b'a',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'h',b'c',b'e',b'c',b'f',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'c',b'o',b'i',b'c',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'n',b'e',b'd',b'c',b'f',b'y',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'p',b'n',b'h',b'c',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'g',b'j',b'a',b'a',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'o',b'a',b'h',b'b',b'x',b'y',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'b',b'l',b'b',b'a',b'f',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'n',b'a',b'f',b'b',b'f',b'y',b'e',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'b',b'm',b'a',b'c',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'k',b'd',b'c',b'b',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'b',b'k',b'j',b'c',b'x',b'y',b'g',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'k',b'b',b'f',b'a',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'b',b'n',b'f',b'b',b'f',b's',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'p'
b'h',b'b',b'j',b'b',b'f',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'd',b'm',b'e',b'b',b'x',b's',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'f',b'g',b'e',b'c',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'o',b'n',b'e',b'b',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'h',b'd',b'f',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'b',b'a',b'h',b'a',b'x',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'y',b'g',b'p'
b'q',b'k',b'e',b'b',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'j',b'n',b'f',b'b',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b's',b'a',b'd',b'a',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b's',b'h',b'j',b'b',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'j',b'k',b'd',b'a',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'h',b'k',b'j',b'c',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'e',b'l',b'e',b'b',b'f',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'e',b'c',b'a',b'c',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'm',b'd',b'b',b'b',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'd',b'i',b'c',b'b',b'x',b'y',b'e',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'b',b'j',b'h',b'b',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'o',b'd',b'g',b'b',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'c',b'f',b'i',b'b',b'x',b'y',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'o',b'n',b'i',b'c',b'x',b'y',b'g',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'i',b'n',b'c',b'b',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'i',b'j',b'c',b'b',b'f',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'g',b'k',b'i',b'c',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'd',b'c',b'e',b'b',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'q',b'e',b'c',b'a',b'x',b'f',b'e',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'c',b'i',b'i',b'b',b'x',b'y',b'n',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'f',b'i',b'f',b'c',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'l',b'i',b'e',b'b',b'x',b'y',b'n',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
b'p',b'f',b'a',b'b',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'g',b'h',b'b',b'a',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'j',b'j',b'c',b'b',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'j',b'e',b'e',b'b',b'x',b'y',b'g',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'g',b'h',b'a',b'a',b'f',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'r',b'l',b'c',b'b',b'x',b'y',b'e',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'c',b'f',b'g',b'a',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b's',b'g',b'e'
b'c',b'h',b'c',b'b',b'f',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'h',b'b',b'c',b'c',b'x',b'y',b'g',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'k',b'h',b'h',b'c',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'g',b'k',b'h',b'b',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'h',b'e',b'e',b'c',b'f',b'f',b'e',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'b',b'o',b'j',b'a',b'x',b's',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b's',b'o',b'e',b'a',b'x',b'f',b'e',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'g',b'n',b'h',b'c',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'b',b'h',b'c',b'c',b'x',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'y',b'd',b'e'
